"u","G","H","Points:0","Points:1","Points:2"
-6.833,-264.33,264.33,4.678,-0.221,0.963
-5.3267,-212.76,212.76,4.462,1.417,1.279
-7.0108,-275,275,5.151,0.913,0.531
-6.6426,-267.68,267.68,5.11,1.893,0.359
-7.4253,-290.08,290.08,5.873,1.78,-0.471
-7.5585,-292.66,292.66,5.914,0.8,-0.299
-7.865,-308.43,308.43,6.609,1.714,-1.077
-8.002,-311.58,311.58,6.375,0.738,-2.433
-7.4777,-292.62,292.62,5.68,-0.177,-1.655
-7.5037,-287.91,287.91,5.535,0.203,-2.023
-7.3823,-285.79,285.79,4.891,-0.313,-2.228
-7.2179,-286.29,286.29,5.084,-0.654,-1.845
-7.3703,-291.92,291.92,4.667,-0.317,-2.723
-6.9077,-278.37,278.37,3.615,-0.663,-2.355
-7.0463,-274.27,274.27,4.033,-1,-1.478
-7.0144,-271.55,271.55,3.753,-0.687,-1.831
-7.6331,-291.57,291.57,5.286,0.281,-2.456
-7.8093,-303.42,303.42,5.032,0.232,-2.933
-8.1073,-314.54,314.54,6.144,0.81,-2.833
-8.5203,-322.9,322.9,5.59,2.023,-3.693
-8.6313,-323.64,323.64,4.478,1.445,-3.792
-8.6531,-324.73,324.73,4.798,2.623,-3.876
-7.4081,-305.29,305.29,6.205,2.786,-3.849
-7.5564,-305.66,305.66,5.412,3.387,-4.032
-7.4869,-302.88,302.88,5.834,3.174,-3.79
-7.0182,-294.14,294.14,5.752,4.855,-2.772
-6.9705,-297.6,297.6,5.337,4.941,-3.091
-7.0365,-294.93,294.93,5.949,5.157,-2.387
-7.272,-300.15,300.15,4.625,4.907,-1.157
-7.584,-304.06,304.06,4.012,4.69,-1.861
-7.4999,-301.44,301.44,4.32,4.583,-1.441
-7.4063,-295.84,295.84,3.868,3.945,-1.329
-7.7253,-304.9,304.9,3.595,4.1,-1.757
-7.2469,-287.05,287.05,3.652,3.566,-0.967
-7.1662,-292.65,292.65,4.313,4.121,-0.828
-6.8985,-283.68,283.68,4.063,3.728,-0.504
-7.2008,-297.06,297.06,4.619,4.479,-0.591
-7.2896,-297,297,6.354,3.246,-0.148
-6.9797,-285.16,285.16,5.798,2.495,-0.062
-7.1843,-292.05,292.05,6.19,2.787,-0.349
-7.5161,-295.91,295.91,6.314,2.144,-0.755
-7.3448,-289.62,289.62,5.912,1.901,-0.436
-7.8111,-307.5,307.5,6.648,1.835,-1.043
-7.4827,-300.23,300.23,6.918,2.857,-0.937
-7.4142,-303.58,303.58,7.207,2.494,-1.212
-7.3602,-298.94,298.94,7.027,3.311,-0.691
-6.9182,-293.71,293.71,7.244,4.182,-1.985
-7.0801,-296.57,296.57,7.424,3.365,-2.506
-7.0319,-293.28,293.28,7.153,3.8,-2.337
-4.5659,-194.39,194.39,3.855,2.302,1.373
-6.2487,-260.57,260.57,4.442,2.866,0.461
-4.7291,-199.82,199.82,3.619,2.531,1.149
-2.3515,-86.175,86.175,-7.097,-0.048,-0.805
-2.6648,-100.32,100.32,-6.931,0.024,-0.509
-1.6629,-64.801,64.801,-7.54,-0.181,-0.914
-2.1264,-80.837,80.837,-7.317,-0.208,-0.65
-2.5455,-97.904,97.904,-7.16,-0.142,-0.347
-2.7785,-106.82,106.82,-7.088,0.008,-0.043
-1.507,-60.391,60.391,-7.717,-0.43,-0.776
-1.9747,-77.295,77.295,-7.481,-0.44,-0.521
-2.4995,-95.93,95.93,-7.331,-0.385,-0.213
-2.7425,-105.74,105.74,-7.285,-0.27,0.111
-1.3717,-57.767,57.767,-7.819,-0.735,-0.678
-1.8679,-75.07,75.07,-7.576,-0.724,-0.43
-2.4465,-94.441,94.441,-7.43,-0.681,-0.119
-2.7106,-104.68,104.68,-7.399,-0.61,0.22
-1.3334,-56.579,56.579,-7.836,-1.067,-0.631
-1.7977,-74.013,74.013,-7.592,-1.033,-0.386
-2.3469,-93.577,93.577,-7.447,-1.003,-0.073
-2.5971,-103.92,103.92,-7.418,-0.98,0.272
-1.3126,-56.805,56.805,-7.767,-1.395,-0.638
-1.7705,-74.052,74.052,-7.528,-1.339,-0.393
-2.2904,-93.345,93.345,-7.38,-1.322,-0.08
-2.5773,-103.45,103.45,-7.342,-1.346,0.265
-1.3568,-58.486,58.486,-7.619,-1.69,-0.699
-1.8228,-75.251,75.251,-7.39,-1.614,-0.45
-2.2949,-93.688,93.688,-7.236,-1.608,-0.139
-2.5406,-103.3,103.3,-7.176,-1.674,0.197
-1.4946,-61.937,61.937,-7.405,-1.925,-0.808
-1.9175,-77.792,77.792,-7.191,-1.832,-0.551
-2.3549,-94.552,94.552,-7.028,-1.835,-0.244
-2.5762,-103.08,103.08,-6.937,-1.935,0.075
-2.1075,-82.039,82.039,-6.948,-1.973,-0.688
-2.4157,-95.689,95.689,-6.775,-1.983,-0.387
-1.4629,-63.109,63.109,-7.181,-2.21,-1.23
-1.9062,-78.38,78.38,-6.795,-2.313,-1.251
-1.3316,-59.433,59.433,-7.227,-2.267,-1.528
-1.7311,-74.506,74.506,-6.847,-2.378,-1.584
-1.2247,-56.261,56.261,-7.28,-2.246,-1.83
-1.6043,-70.805,70.805,-6.905,-2.353,-1.921
-1.1367,-53.381,53.381,-7.334,-2.146,-2.116
-1.4805,-66.863,66.863,-6.966,-2.243,-2.239
-1.1106,-50.798,50.798,-7.388,-1.976,-2.366
-1.3102,-62.773,62.773,-7.026,-2.053,-2.517
-0.98953,-48.715,48.715,-7.437,-1.745,-2.564
-1.1881,-59.059,59.059,-7.08,-1.796,-2.738
-0.90568,-47.508,47.508,-7.477,-1.471,-2.696
-1.0888,-56.566,56.566,-7.125,-1.49,-2.885
-0.89103,-47.395,47.395,-7.507,-1.17,-2.753
-1.0717,-56.115,56.115,-7.159,-1.155,-2.949
-0.93147,-48.514,48.514,-7.524,-0.864,-2.732
-1.1589,-58.023,58.023,-7.178,-0.814,-2.926
-1.0589,-50.675,50.675,-7.528,-0.573,-2.635
-1.2696,-61.804,61.804,-7.181,-0.489,-2.817
-1.1489,-53.521,53.521,-7.517,-0.316,-2.467
-1.4801,-66.487,66.487,-7.169,-0.203,-2.63
-1.2707,-56.735,56.735,-7.492,-0.11,-2.24
-1.6768,-71.275,71.275,-7.142,0.026,-2.377
-1.4438,-60.021,60.021,-7.456,0.03,-1.969
-1.865,-75.699,75.699,-7.102,0.183,-2.075
-1.5956,-63.413,63.413,-7.411,0.096,-1.672
-2.0673,-79.73,79.73,-7.051,0.256,-1.744
-1.7482,-67.11,67.11,-7.359,0.082,-1.369
-2.189,-83.673,83.673,-6.994,0.241,-1.407
-2.3994,-93.944,93.944,-6.652,-2.05,-0.529
-2.3864,-94.525,94.525,-6.538,-2.109,-0.539
-2.136,-87.602,87.602,-6.403,-2.392,-1.133
-2.0849,-87.337,87.337,-6.091,-2.406,-0.729
-2.0936,-87.954,87.954,-6.156,-2.49,-1.332
-1.937,-83.484,83.484,-5.835,-2.507,-0.935
-2.0295,-87.341,87.341,-5.902,-2.517,-1.543
-1.8184,-80.901,80.901,-5.572,-2.536,-1.154
-1.9231,-85.68,85.68,-5.653,-2.473,-1.757
-1.7551,-79.307,79.307,-5.314,-2.49,-1.376
-1.8335,-82.798,82.798,-5.421,-2.36,-1.964
-1.7126,-78.633,78.633,-5.073,-2.373,-1.59
-1.7125,-77.38,77.38,-5.509,-2.318,-2.296
-1.4346,-65.803,65.803,-5.368,-2.204,-2.653
-1.6718,-74.972,74.972,-5.823,-2.363,-2.453
-1.3956,-62.716,62.716,-5.65,-2.244,-2.793
-1.623,-71.416,71.416,-6.134,-2.314,-2.612
-1.295,-59.514,59.514,-5.929,-2.199,-2.936
-1.4488,-67.029,67.029,-6.421,-2.173,-2.764
-1.2,-56.361,56.361,-6.186,-2.074,-3.072
-1.293,-62.475,62.475,-6.662,-1.952,-2.897
-1.1015,-53.492,53.492,-6.403,-1.875,-3.191
-1.165,-58.697,58.697,-6.842,-1.666,-3.001
